f1000-1-1-0,carlos morel
f1000-1-9-1,david r cool
f1000-1-9-2,nabil seidah
f1000-2-1-0,steven a julious
f1000-2-1-1,luigi naldi
f1000-2-1-2,riekie de vet
f1000-2-10-0,karolina kucharova
f1000-2-10-1,janusz byczkowski
f1000-2-10-2,ralph deberardinis
f1000-2-100-0,safieddin safavi-naeini
f1000-2-100-1,creidhe osullivan
f1000-2-101-0,tony mcmichael
f1000-2-101-1,riccardo pietrabissa
f1000-2-101-2,paul terry
f1000-2-102-0,dan benhamou
f1000-2-102-1,erxi wu
f1000-2-102-2,alain borgeat
f1000-2-103-0,james crowe jr 
f1000-2-103-1,austin hughes
f1000-2-103-2,deborah dunn-walters
f1000-2-104-0,andre der-avakian
f1000-2-104-1,sayamwong hammack
f1000-2-105-0,christina wu
f1000-2-105-1,madappa kundranda
f1000-2-106-0,dipshikha chakravortty
f1000-2-106-1,guilhem janbon
f1000-2-106-2,malcolm whiteway
f1000-2-107-0,kamran ghoreschi
f1000-2-107-1,gabriella fabbrocini
f1000-2-108-0,liliana clara
f1000-2-108-1,andrew gilbert
f1000-2-108-2,liliana clara
f1000-2-108-3,andrew gilbert
f1000-2-109-0,david finlay
f1000-2-109-1,ursula bommhardt
f1000-2-109-2,michael gold
f1000-2-109-3,michael gold
f1000-2-109-4,ursula bommhardt
f1000-2-109-5,david finlay
f1000-2-11-0,bernard wittels
f1000-2-11-1,michael paech
f1000-2-11-2,john pollard
f1000-2-110-0,eleanor simpson
f1000-2-110-1,xiu-ti hu
f1000-2-111-0,esperanza gutierrez redomero
f1000-2-111-1,esperanza gutierrez redomero
f1000-2-111-2,matea zajc petranovi
f1000-2-111-3,esperanza gutierrez redomero
f1000-2-112-0,azize esra grsoy
f1000-2-112-1,jennifer n slim
f1000-2-113-0,marcel d waldinger
f1000-2-113-1,david goldmeier
f1000-2-113-2,michael fraser
f1000-2-113-3,selim cellek
f1000-2-114-0,hajime takizawa
f1000-2-114-1,ravi kalhan
f1000-2-114-2,rob stockley
f1000-2-115-0,roi dor
f1000-2-115-1,francisco pulido
f1000-2-115-2,miriam liedvogel
f1000-2-116-0,eugene v. koonin 
f1000-2-116-1,reimer khn
f1000-2-117-0,john p. overington 
f1000-2-117-1,andras fiser 
f1000-2-117-2,andrew j bordner
f1000-2-118-0,roland freudenmann
f1000-2-118-1,peter lepping
f1000-2-118-2,natalino h yoshinari
f1000-2-118-3,alan b macdonald 
f1000-2-119-0,shahirose premji
f1000-2-119-1,tabassum firoz
f1000-2-119-2,laxmi baxi
f1000-2-12-0,yukio hayashi
f1000-2-12-1,sumio hoka
f1000-2-120-0,jack l. arbiser
f1000-2-120-1,marco ardig
f1000-2-120-2,neil rajan
f1000-2-120-3,marco ardig
f1000-2-120-4,jack l. arbiser
f1000-2-121-0,iracema leroi
f1000-2-121-1,alberto albanese
f1000-2-122-0,jessica gurevitch
f1000-2-122-1,reto strasser
f1000-2-122-2,reto strasser
f1000-2-122-3,jessica gurevitch
f1000-2-122-4,jian rang wang
f1000-2-123-0,brian j egan
f1000-2-123-1,yehuda ginosar
f1000-2-124-0,alkis psaltis
f1000-2-124-1,allen m seiden
f1000-2-124-2,rakesh k chandra
f1000-2-125-0,jeff dalley
f1000-2-125-1,jeff dalley
f1000-2-125-2,kenichiro tsutsui
f1000-2-126-0,pravin c singhal
f1000-2-126-1,albert dreisbach
f1000-2-126-2,albert dreisbach
f1000-2-126-3,pravin c singhal
f1000-2-127-0,yevgenij yanovsky
f1000-2-128-0,patrick tobin 
f1000-2-128-1,judith h myers
f1000-2-128-2,patrick tobin 
f1000-2-128-3,judith h myers
f1000-2-129-0,hong zhao
f1000-2-129-1,erik sahai
f1000-2-129-2,erik sahai
f1000-2-129-3,hong zhao
f1000-2-13-0,christian koerner
f1000-2-13-1,xianzhong wang
f1000-2-130-0,daniel carstensen
f1000-2-130-1,jochen frnd
f1000-2-130-2,jochen frnd
f1000-2-130-3,daniel carstensen
f1000-2-130-4,daniel carstensen
f1000-2-130-5,carsten f dormann
f1000-2-131-0,akshay nair
f1000-2-131-1,igor kozak
f1000-2-131-2,igor kozak
f1000-2-131-3,ilse krebs
f1000-2-132-0,ewout w. steyerberg
f1000-2-132-1,david bar-or
f1000-2-133-0,guillaume martin-blondel
f1000-2-133-1,matthijs brouwer
f1000-2-133-2,bruce brew
f1000-2-134-0,madelon maurice
f1000-2-134-1,udayan apte
f1000-2-134-2,udayan apte
f1000-2-134-3,madelon maurice
f1000-2-135-0,surinder k batra
f1000-2-135-1,hasan mukhtar
f1000-2-136-0,gustavo j. gutierrez gonzalez
f1000-2-136-1,gustavo j. gutierrez gonzalez
f1000-2-136-2,florian karreth
f1000-2-137-0,qunhong wu
f1000-2-137-1,m. rashad massoud 
f1000-2-138-0,david oppenheimer
f1000-2-138-1,tatsuru masuda
f1000-2-138-2,ruby a ynalvez
f1000-2-138-3,ruby a ynalvez
f1000-2-138-4,tatsuru masuda
f1000-2-138-5,david oppenheimer
f1000-2-139-0,christos a. ouzounis 
f1000-2-139-1,panayiotis benos
f1000-2-139-2,mark a. ragan
f1000-2-139-3,panayiotis benos
f1000-2-139-4,mark a. ragan
f1000-2-139-5,christos a. ouzounis 
f1000-2-14-0,adam t. hill
f1000-2-14-1,jonathan s. nguyen-van-tam 
f1000-2-140-0,stephen nutt
f1000-2-140-1,marc pellegrini
f1000-2-141-0,richard harvey
f1000-2-141-1,james chong
f1000-2-142-0,kittisak yokthongwattana 
f1000-2-142-1,eonseon jin
f1000-2-142-2,kittisak yokthongwattana 
f1000-2-143-0,saurabh sinha
f1000-2-143-1,satish chikkagoudar
f1000-2-143-2,saurabh sinha
f1000-2-143-3,satish chikkagoudar
f1000-2-143-4,himanshu sinha 
f1000-2-144-0,stefan laufer
f1000-2-144-1,jeremy l. jenkins
f1000-2-144-2,jeremy l. jenkins
f1000-2-144-3,hans matter
f1000-2-144-4,stefan laufer
f1000-2-145-0,hans-peter hammes
f1000-2-145-1,stephan f. lanes
f1000-2-146-0,ryan chisholm
f1000-2-146-1,gary luck
f1000-2-147-0,stefan toegel
f1000-2-147-1,oliver grundmann
f1000-2-147-2,stefan toegel
f1000-2-147-3,oliver grundmann
f1000-2-148-0,w.sue t griffin
f1000-2-148-1,jan-marino ramirez 
f1000-2-148-2,roger keynes
f1000-2-148-3,alain prochiantz
f1000-2-149-0,james loughman
f1000-2-149-1,robert taylor
f1000-2-15-0,patricia khashayar
f1000-2-15-1,andrew lee
f1000-2-15-2,bob phillips 
f1000-2-150-0,eric molho
f1000-2-150-1,irene richard
f1000-2-151-0,louiza belkacemi
f1000-2-151-1,zhenjie zhang
f1000-2-151-2,carlos telleria
f1000-2-152-0,gerald prager
f1000-2-152-1,shiro urayama
f1000-2-153-0,david soll
f1000-2-153-1,simon glerup
f1000-2-153-2,simon glerup
f1000-2-153-3,john colyer
f1000-2-153-4,david soll
f1000-2-154-0,patricia c weber
f1000-2-154-1,xiayang qiu
f1000-2-154-2,xiayang qiu
f1000-2-154-3,patricia c weber
f1000-2-155-0,irene hanning
f1000-2-155-1,katharina strk
f1000-2-155-2,irene hanning
f1000-2-155-3,marilyn roberts
f1000-2-156-0,kenneth land
f1000-2-156-1,david carpenter
f1000-2-156-2,kenneth land
f1000-2-156-3,howard mielke
f1000-2-156-4,david carpenter
f1000-2-157-0,iman hegazi
f1000-2-157-1,pooria foroushani
f1000-2-157-2,kevin j black 
f1000-2-158-0,hong-you ge
f1000-2-158-1,brach poston
f1000-2-158-2,brach poston
f1000-2-158-3,hong-you ge
f1000-2-159-0,hans-peter volz
f1000-2-159-1,linda mayes
f1000-2-159-2,shailesh jain
f1000-2-16-0,bruce fisher
f1000-2-16-1,deborah korenstein
f1000-2-16-2,ramesh k adhikari
f1000-2-160-0,saravana kumar
f1000-2-160-1,fiath-michael uzoka
f1000-2-160-2,m. rashad massoud 
f1000-2-161-0,david kessel
f1000-2-161-1,michael hamblin
f1000-2-162-0,lieven haenebalcke
f1000-2-162-1,juergen bode
f1000-2-162-2,jennifer clancy
f1000-2-163-0,maria van kerkhove
f1000-2-163-1,christian gericke
f1000-2-163-2,kayvon modjarrad
f1000-2-164-0,lara weinstein
f1000-2-164-1,benjamin henwood
f1000-2-165-0,gabrielle planelles
f1000-2-165-1,john geibel
f1000-2-165-2,gabrielle planelles
f1000-2-165-3,silvana curci
f1000-2-166-0,caleb ing
f1000-2-166-1,igor luginbuehl
f1000-2-166-2,igor luginbuehl
f1000-2-166-3,caleb ing
f1000-2-167-0,naoto morimura
f1000-2-167-1,andrej michalsen
f1000-2-168-0,john chapman
f1000-2-168-1,joachim mergeay
f1000-2-169-0,mikael c. i. karlsson
f1000-2-169-1,tracy mcgaha
f1000-2-17-0,sara hughes
f1000-2-17-1,james matcham
f1000-2-17-2,steff lewis
f1000-2-17-3,paul silcocks
f1000-2-170-0,angelos kanellis
f1000-2-170-1,ivo feussner
f1000-2-170-2,angelos kanellis
f1000-2-170-3,michael pirrung
f1000-2-170-4,ivo feussner
f1000-2-171-0,david carr-locke
f1000-2-171-1,guido costamagna
f1000-2-172-0,joel bader
f1000-2-172-1,nassim sohaee
f1000-2-172-2,lin gao
f1000-2-173-0,philip ballard
f1000-2-173-1,yassine amrani
f1000-2-173-2,yassine amrani
f1000-2-173-3,philip ballard
f1000-2-174-0,tony hunter
f1000-2-174-1,kristopher clark
f1000-2-174-2,kristopher clark
f1000-2-175-0,peter medveczky
f1000-2-175-1,esra lu
f1000-2-176-0,michael land
f1000-2-176-1,stephen van hooser
f1000-2-176-2,matteo carandini
f1000-2-177-0,laurel lenz
f1000-2-177-1,benjamin willing
f1000-2-178-0,adrian piliponsky
f1000-2-178-1,rosa torres
f1000-2-178-2,peter d. drummond
f1000-2-178-3,rosa torres
f1000-2-178-4,adrian piliponsky
f1000-2-178-5,peter d. drummond
f1000-2-179-0,pompiliu piso
f1000-2-179-1,shigeki kusamura
f1000-2-179-2,shigeki kusamura
f1000-2-179-3,pompiliu piso
f1000-2-179-4,david l morris
f1000-2-18-0,carlos e semino
f1000-2-18-1,mikko lammi
f1000-2-18-2,wael kafienah
f1000-2-180-0,anthony hannan
f1000-2-180-1,anthony hannan
f1000-2-180-2,antoni valero-cabre
f1000-2-181-0,priscilla licandro
f1000-2-181-1,claudia mills
f1000-2-182-0,timm rosburg
f1000-2-182-1,colin lever
f1000-2-182-2,timm rosburg
f1000-2-182-3,james knierim
f1000-2-183-0,jonathan foulds
f1000-2-183-1,eva kralikova
f1000-2-184-0,anita krisko
f1000-2-184-1,kazuhiro takemoto
f1000-2-185-0,agustn gonzlez-fontes
f1000-2-185-1,liwen jiang
f1000-2-185-2,tomomichi fujita
f1000-2-186-0,uri alon
f1000-2-186-1,craig langman
f1000-2-187-0,bert w. hoeksema
f1000-2-187-1,bert w. hoeksema
f1000-2-187-2,john rooney
f1000-2-187-3,john rooney
f1000-2-187-4,tyler smith
f1000-2-188-0,manuel corpas 
f1000-2-188-1,peter n. robinson
f1000-2-188-2,peter n. robinson
f1000-2-188-3,manuel corpas 
f1000-2-189-0,pedro barri
f1000-2-189-1,fatma ferda verit
f1000-2-189-2,william ledger
f1000-2-189-3,pedro barri
f1000-2-189-4,fatma ferda verit
f1000-2-19-0,joel tabak
f1000-2-19-1,horacio g. rotstein
f1000-2-19-2,ernest barreto
f1000-2-190-0,oxana galzitskaya
f1000-2-190-1,martin vabulas
f1000-2-191-0,gavin l. simpson
f1000-2-191-1,will pearse
f1000-2-191-2,ethan p. white 
f1000-2-191-3,ethan p. white 
f1000-2-191-4,gavin l. simpson
f1000-2-191-5,will pearse
f1000-2-192-0,ghislain bidaut
f1000-2-192-1,paul t. shannon
f1000-2-192-2,ghislain bidaut
f1000-2-192-3,nikolaus schultz
f1000-2-193-0,bernie degnan
f1000-2-193-1,yossi loya
f1000-2-193-2,bernie degnan
f1000-2-193-3,yossi loya
f1000-2-194-0,matias pablo juan szab
f1000-2-194-1,matias pablo juan szab
f1000-2-194-2,michael levin
f1000-2-194-3,brian allan
f1000-2-195-0,kazumi osada
f1000-2-195-1,joanne yew
f1000-2-195-2,fernando marta
f1000-2-195-3,fernando marta
f1000-2-195-4,kazumi osada
f1000-2-195-5,joanne yew
f1000-2-196-0,jan stary 
f1000-2-196-1,bassem razzouk
f1000-2-197-0,kalpana ghoshal
f1000-2-197-1,tushar patel
f1000-2-198-0,tom gillis
f1000-2-198-1,yoshiko takahashi
f1000-2-198-2,tom gillis
f1000-2-198-3,yoshiko takahashi
f1000-2-198-4,maximiliano g gutierrez
f1000-2-198-5,maximiliano g gutierrez
f1000-2-199-0,meir glick
f1000-2-199-1,patrick walters 
f1000-2-199-2,gerhard mller
f1000-2-2-0,christos a. ouzounis 
f1000-2-2-1,jaap heringa
f1000-2-2-2,alex bateman 
f1000-2-20-0,bruce cumming
f1000-2-20-1,farrel robinson
f1000-2-20-2,farrel robinson
f1000-2-20-3,vincent ferrera
f1000-2-20-4,bruce cumming
f1000-2-200-0,yurii aulchenko
f1000-2-200-1, william g. hill
f1000-2-201-0,marjorie freedman
f1000-2-201-1,john mooney
f1000-2-201-2,marjorie freedman
f1000-2-201-3,john mooney
f1000-2-202-0,llus nisa
f1000-2-202-1,julie bauman
f1000-2-203-0,mark smith
f1000-2-203-1,daniel gallie
f1000-2-203-2,mark smith
f1000-2-203-3,daniel gallie
f1000-2-204-0,mike johnston 
f1000-2-204-1,jean-franois brunet
f1000-2-204-2,mario costa
f1000-2-205-0,stan leung
f1000-2-205-1,bin chen
f1000-2-206-0,roberto arenas 
f1000-2-206-1,mohamed badawy abdel-naser
f1000-2-207-0,kirsten r mller-vahl 
f1000-2-207-1,jeremy s. stern
f1000-2-208-0,patrick hannaert
f1000-2-208-1,john osborn
f1000-2-208-2,johnny ottesen
f1000-2-208-3,patrick hannaert
f1000-2-208-4,johnny ottesen
f1000-2-208-5,john osborn
f1000-2-209-0,liangyi chen
f1000-2-209-1,yoshinori moriyama
f1000-2-21-0,pl strom
f1000-2-21-1,denis dupuy
f1000-2-21-2,denis dupuy
f1000-2-21-3,wenqian hu
f1000-2-210-0,pablo acebes
f1000-2-210-1,gary luck
f1000-2-210-2,pablo acebes
f1000-2-210-3,ricardo baldi
f1000-2-211-0,bairong shen
f1000-2-211-1,simon lovell
f1000-2-211-2,simon lovell
f1000-2-211-3,bairong shen
f1000-2-212-0,andrew boyd
f1000-2-212-1,hiroshi kawachi
f1000-2-213-0,david m nanus
f1000-2-214-0,rachel standish
f1000-2-214-1,bruce clarkson
f1000-2-215-0,wolfgang heide
f1000-2-215-1,anna barrett
f1000-2-215-2,christopher striemer
f1000-2-216-0,cory dunn
f1000-2-216-1,karim mekhail
f1000-2-217-0,michael b. stadler 
f1000-2-217-1,felix krueger
f1000-2-217-2,felix krueger
f1000-2-217-3,jrn walter
f1000-2-217-4,michael b. stadler 
f1000-2-218-0,jennifer marshall
f1000-2-218-1,david nemazee
f1000-2-218-2,david nemazee
f1000-2-218-3,jennifer marshall
f1000-2-218-4,marko radic
f1000-2-219-0,marian berryhill
f1000-2-219-1,angelo alonzo
f1000-2-219-2,andrea antal
f1000-2-219-3,angelo alonzo
f1000-2-219-4,andrea antal
f1000-2-219-5,marian berryhill
f1000-2-22-0,edvard i moser
f1000-2-22-1,kent berridge
f1000-2-220-0,anthony sadler
f1000-2-220-1,anita corbett
f1000-2-220-2,anthony sadler
f1000-2-221-0,h jane dyson
f1000-2-221-1,h jane dyson
f1000-2-221-2,annalisa pastore
f1000-2-222-0,christine marosi
f1000-2-222-1,daniel vorobiof
f1000-2-222-2,antonio santacroce
f1000-2-222-3,christine marosi
f1000-2-222-4,matthias simon
f1000-2-222-5,daniel vorobiof
f1000-2-223-0,stefano casola
f1000-2-223-1,maria rescigno
f1000-2-224-0,jorge santo domingo
f1000-2-224-1,jonas waldenstrm
f1000-2-224-2,benjamin kirkup
f1000-2-224-3,jonas waldenstrm
f1000-2-224-4,jorge santo domingo
f1000-2-225-0,mark coburn
f1000-2-225-1,luzius a steiner
f1000-2-225-2,mark coburn
f1000-2-225-3,luzius a steiner
f1000-2-225-4,ehab farag
f1000-2-226-0,johannes steffen kern
f1000-2-226-1,mohamed badawy abdel-naser
f1000-2-227-0,emanuele buratti 
f1000-2-227-1,emanuele buratti 
f1000-2-227-2,rafael najmanovich
f1000-2-227-3,rafael najmanovich
f1000-2-227-4,ammar al-chalabi
f1000-2-228-0,rajesh agarwala
f1000-2-228-1,michael mayr
f1000-2-228-2,joyce popoola
f1000-2-229-0,danny n dhanasekaran
f1000-2-229-1,sekhar reddy
f1000-2-23-0,marco patruno
f1000-2-23-1,nicola maffulli 
f1000-2-23-2,elizaveta kon
f1000-2-230-0,vivek anantharaman
f1000-2-230-1,stefano toppo
f1000-2-231-0,juliana bernardes
f1000-2-231-1,karin verspoor 
f1000-2-231-2,paul pavlidis
f1000-2-232-0,igor schindler
f1000-2-232-1,radek ptak 
f1000-2-232-2,daniel smith
f1000-2-233-0,pamela l. perrew
f1000-2-233-1,pamela l. perrew
f1000-2-233-2,joanna wieclaw
f1000-2-234-0,michael mccarthy
f1000-2-234-1,jonathan rhodes
f1000-2-235-0,ryan isakson
f1000-2-235-1,frederick kirschenmann
f1000-2-237-0,mark obermann 
f1000-2-237-1,dimos mitsikostas
f1000-2-237-2,christian wber
f1000-2-238-0,malcolm whiteway
f1000-2-238-1,donna maccallum 
f1000-2-238-2,david soll
f1000-2-238-3,donna maccallum 
f1000-2-239-0,stijn reinhard
f1000-2-239-1,stijn reinhard
f1000-2-239-2,erik nelson
f1000-2-24-0,mayana zatz
f1000-2-24-1,philippe saas 
f1000-2-240-0,pedro barri
f1000-2-240-1,alex simon
f1000-2-240-2,joep pm geraedts
f1000-2-240-3,pedro barri
f1000-2-242-0,jeroen bakkers
f1000-2-242-1,jeroen bakkers
f1000-2-242-2,vincent vanburen
f1000-2-243-0,patricia c weber
f1000-2-243-1,shina caroline lynn kamerlin
f1000-2-244-0,claire wade
f1000-2-244-1,mara vila-arcos
f1000-2-244-2,claire wade
f1000-2-245-0,sumru onal
f1000-2-245-1,erkan alpsoy
f1000-2-246-0,mari-paule thiet
f1000-2-246-1,deborah blumenthal
f1000-2-247-0,arnold wilkins
f1000-2-247-1,diana m. brainard
f1000-2-248-0,cyriac kandoth
f1000-2-248-1,anuj kumar 
f1000-2-248-2,anuj kumar 
f1000-2-248-3,cyriac kandoth
f1000-2-248-4,mick watson
f1000-2-249-0,melvin berger
f1000-2-249-1,adlette inati
f1000-2-25-0,john english
f1000-2-25-1,bernhard zelger
f1000-2-25-2,judith miklossy
f1000-2-250-0,bruno mgarbane
f1000-2-250-1,arnaud perrier
f1000-2-251-0,ingrid moll
f1000-2-252-0,keith muir
f1000-2-252-1,roger barker
f1000-2-253-0,christian bach
f1000-2-253-1,noor buchholz
f1000-2-254-0,robert g. beiko
f1000-2-254-1,inaki ruiz-trillo
f1000-2-255-0,david olson
f1000-2-255-1,mohamad saad
f1000-2-256-0,philip calder
f1000-2-256-1,bruce bistrian
f1000-2-256-2,bruce bistrian
f1000-2-256-3,philip calder
f1000-2-257-0,massimo miniati
f1000-2-257-1,martin rohacek
f1000-2-258-0,loren j hauser
f1000-2-258-1,jeffrey mclean
f1000-2-259-0,michelle cheung
f1000-2-259-1,bruce brew
f1000-2-259-2,thierry coton
f1000-2-259-3,michelle cheung
f1000-2-259-4,jos manuel echevarra
f1000-2-259-5,thierry coton
f1000-2-259-6,bruce brew
f1000-2-26-0,luan d. trong
f1000-2-26-1,christina yuan
f1000-2-260-0,christopher bahl
f1000-2-260-1,abhinav nath
f1000-2-260-2,neil d. rawlings
f1000-2-261-0,robert knight
f1000-2-261-1,robert knight
f1000-2-261-2,jennifer fish
f1000-2-261-3,jennifer fish
f1000-2-262-0,chris baker 
f1000-2-262-1,leo mchugh
f1000-2-262-2,leo mchugh
f1000-2-262-3,chris baker 
f1000-2-263-0,daron smith
f1000-2-263-1,stefanos kachrilas
f1000-2-263-2,hammad ather 
f1000-2-264-0,tiffany j. morris
f1000-2-264-1,jan oosting
f1000-2-265-0,cameron thrash
f1000-2-265-1,bruno contreras-moreira 
f1000-2-265-2,granger sutton 
f1000-2-266-0,p edward purdue
f1000-2-266-1,jason k.f. wong
f1000-2-266-2,javad parvizi
f1000-2-266-3,jason k.f. wong
f1000-2-267-0,ryu matsuoka
f1000-2-267-1,everett magann
f1000-2-267-2,conrad chao
f1000-2-268-0,samuel f bakhoum
f1000-2-268-1,jan oxholm gordeladze
f1000-2-269-0,david camerini
f1000-2-269-1,mario clerici
f1000-2-269-2,susana n. asin
f1000-2-27-0,peter j. myler
f1000-2-27-1,ralf erdmann
f1000-2-270-0,jonas jacobsen
f1000-2-270-1,mark morgan
f1000-2-270-2,alberto grossi
f1000-2-271-0,joo rafael de oliveira dias
f1000-2-272-0,nick morrice
f1000-2-272-1,xianyin lai
f1000-2-272-2,nick morrice
f1000-2-272-3,xianyin lai
